telescope,filter,file,n_stars,median,mean,std,max,mad_sigma
dup,V,SN08C_V_comb_dup.fits,25,1.306014355283812,1.3480841702483644,0.2422949764510914,2.0533333075663185,0.2060527115454878
dup,B,LSQ15aja_B_comb_dup.fits,25,1.3059118409205803,1.328245787917671,0.06241715852011294,1.469762571527075,0.04728620018996256
dup,B,PTF13ez_B_comb_dup.fits,25,1.3058903537174862,1.4037948077252338,0.36610389725975406,3.090887177084874,0.04101005478921712
dup,B,PTF13efe_B_comb_dup.fits,25,1.3040003186165487,1.2986832178671577,0.04429562025172686,1.4100696637719472,0.02784283543649845
dup,V,PTF11ppn_V_comb_dup.fits,25,1.3033316258693193,1.337611144616548,0.13200659188529704,1.890607614101902,0.022672322610754175
dup,B,LSQ12hxx_B_comb_dup.fits,25,1.3018478709319736,1.4537584684329286,0.484361822553714,3.2774802343416067,0.18058649194854806
dup,V,PTF13anh_V_comb_dup.fits,25,1.30167479136383,1.2942858243158257,0.07278831656342716,1.4550083228903197,0.08712726093966078
dup,B,SN07bc_B_comb_dup.fits,22,1.3013866173164819,1.3502401890872877,0.397474700753909,2.791364006717646,0.07783211307891053
dup,B,CSP13B_B_comb_dup.fits,25,1.299723610079362,1.3196106934069247,0.09954562797674858,1.7695215798204378,0.03241386731812645
dup,B,ASAS14kq_B_comb_dup.fits,22,1.2970190253184013,1.1681433292123753,0.33363487367434846,1.3171035169326248,0.014457242794499366
dup,V,PTF14fpg_V_comb_dup.fits,25,1.296508803434553,1.3296255250033706,0.16961544732284395,2.128142058420865,0.025840270467629906
dup,B,SN04gu_B_comb_dup.fits,19,1.2958666871712607,1.2056493545584415,0.6961693216146725,2.877882642908989,0.1316429325185225
dup,B,LSQ13dkp_B_comb_dup.fits,22,1.2917403521949868,1.1886346222780162,0.5956694588059931,2.595473584870005,0.04116114840326368
dup,V,LSQ14ahm_V_comb_dup.fits,25,1.2905534494563995,1.4147732882914517,0.3196560808650081,2.1044052998982807,0.20892665276623418
dup,V,CSP14acm_V_comb_dup.fits,25,1.2862445603528418,1.2916703166821726,0.043467905176040385,1.3816827420031743,0.04509437913781538
dup,V,ASAS14my_V_comb_dup.fits,24,1.284581444901467,1.5295855173105741,0.7215349469331882,3.3939691073253324,0.02175817310799192
dup,V,SN04dt_V_comb_dup.fits,19,1.282567221555095,1.0765010550715752,0.5306800142073127,2.20654513771539,0.04278821542236242
dup,B,SN07jg_B_comb_dup.fits,25,1.2813524269610337,1.2310428827656468,0.2556413419309484,1.5932535404334027,0.030089731988159518
dup,B,CSP13aam_B_comb_dup.fits,25,1.277573551732635,1.2882838206126792,0.06755478566419436,1.4963719819492298,0.058844898250595405
dup,V,SN09ad_V_comb_dup.fits,25,1.2751298238526831,1.2902936220395986,0.0840072443646171,1.5927179448922846,0.039281459357567
dup,B,CSP14acp_B_comb_dup.fits,25,1.2740994617802208,1.3158481112601979,0.2383272734640699,2.449584567031484,0.03447983655337321
dup,B,CSP13aba_B_comb_dup.fits,19,1.2714047546243537,1.1062544827488898,0.648104053679521,2.995194117621236,0.07298126037050184
dup,B,CSP13aad_B_comb_dup.fits,25,1.2684589746284678,1.2843977748856292,0.05460548790745864,1.436758424157666,0.050152854528890366
dup,V,SN04ey_V_comb_dup.fits,25,1.265787652324384,1.223944819734274,0.20045960632224263,1.4462414639207175,0.06579779867668892
dup,V,SN2012fr_V_comb_dup.fits,21,1.2657337679716625,1.8944570948708692,1.5477028278704936,7.238756393831852,0.7282187057224656
swo,V,ASAS14jc_V_comb_swo.fits,25,1.2613350131189651,1.2576736857232076,0.21194607525186485,1.64018511190108,0.2114023983543432
swo,V,ASAS15be_V_comb_swo.fits,25,1.2593624350332349,1.2251638823804785,0.17202584265636384,1.3105608729671403,0.020819651065616392
dup,V,CSP13an_V_comb_dup.fits,25,1.2589280352539327,1.3711195287310114,0.3182699363266996,2.4751937797820323,0.017254698933792435
dup,B,SN07le_B_comb_dup.fits,21,1.2569961031850565,0.8785392906112067,0.4616468880994571,1.3643819398713783,0.15921047970722105
dup,V,CSP14adc_V_comb_dup.fits,25,1.2564293066484813,1.3332530603457207,0.26598243073744815,2.425568312156626,0.04865823666981506
swo,V,SN06hb_V_comb_swo.fits,25,1.254937146187793,1.3159863504610314,0.2009127412754251,2.195072802785932,0.04296755902998044
dup,B,LSQ11ot_B_comb_dup.fits,25,1.2536070409381834,1.2565573704954687,0.033411138022183304,1.374692339907287,0.03171485178761283
dup,V,SN05am_V_comb_dup.fits,25,1.2509774851011963,1.3669966510190588,0.2480832839350719,2.0925307143319234,0.07015900897878558
dup,B,SN08go_B_comb_dup.fits,25,1.250758241684469,1.3321353355730603,0.3405581706611676,2.665287216910551,0.04967240823112336
dup,B,SN08gg_B_comb_dup.fits,25,1.2496661398441604,1.3980763061470114,0.41290440228184694,3.023378755129186,0.017733398825476726
dup,V,CSP13aaq_V_comb_dup.fits,25,1.249332467406478,1.2884296608072285,0.16922654724494804,2.018581137061984,0.02598814878152942
dup,B,LSQ13dhj_B_comb_dup.fits,19,1.2484311208654115,1.2587624749488735,0.03460136453518519,1.344030340893087,0.028329017377326553
dup,B,SN08fr_B_comb_dup.fits,19,1.2472360950223615,1.2639036563499462,0.2711248270437825,1.6031762990603269,0.04552460037492021
dup,B,PTF13dym_B_comb_dup.fits,25,1.2471941156930184,1.2213197417962274,0.3863545101485719,2.138104008062328,0.03867853760785951
dup,V,LSQ14ghv_V_comb_dup.fits,24,1.2470194164466157,1.2562248505561902,0.24632457411858136,1.839280693057132,0.011644316223788772
dup,B,SN08bi_B_comb_dup.fits,21,1.2469087041874165,1.2455571905415597,0.3761505938522705,2.115687156678702,0.08972026786418207
dup,B,LSQ14ahm_B_comb_dup.fits,25,1.2468112284634931,1.414015037172068,0.3685297825556165,2.1718052485723,0.03614027682877699
dup,B,SN05be_B_comb_dup.fits,23,1.242454344957553,1.1106364590039082,0.533910203759156,2.3797683493867265,0.0316355747411623
