object,telescope,filter,file,plate_scale,z,n_stars,fwhm_arcsec,sigma_min_arcsec,sigma_min_kpc,smallest_safe_grid_radius_kpc
LSQ14gov,dup,B,LSQ14gov_B_comb_dup.fits,0.23,0.0896,23,1.0177478828006759,0.43219773202979495,0.722804522564474,1.0
LSQ14gov,dup,V,LSQ14gov_V_comb_dup.fits,0.23,0.0896,25,0.8163215445565376,0.34665984191832744,0.5797515418539472,1.0
LSQ14ie,dup,B,LSQ14ie_B_comb_dup.fits,0.23,0.08954,25,1.1763380845090794,0.4995447898413056,0.8349336964323791,1.0
LSQ14ie,dup,V,LSQ14ie_V_comb_dup.fits,0.23,0.08954,25,1.0907356311748946,0.4631927749538751,0.774175336461556,1.0
LSQ14ip,dup,B,LSQ14ip_B_comb_dup.fits,0.23,0.0613,20,1.0968329727531314,0.46578207751697465,0.5508026959330162,1.0
LSQ14ip,dup,V,LSQ14ip_V_comb_dup.fits,0.23,0.0613,24,0.9495670636111885,0.40324400398023125,0.47684935774077947,1.0
LSQ14jp,dup,B,LSQ14jp_B_comb_dup.fits,0.23,0.0454,25,1.3392292379921744,0.5687182937049328,0.5075364277578427,1.0
LSQ14jp,dup,V,LSQ14jp_V_comb_dup.fits,0.23,0.0454,25,0.881927579833133,0.3745201599137661,0.3342298396058789,1.0
LSQ14mc,dup,B,LSQ14mc_B_comb_dup.fits,0.23,0.05662,22,0.9594940787103945,0.40745961914800327,0.4475079259702807,1.0
LSQ14mc,dup,V,LSQ14mc_V_comb_dup.fits,0.23,0.05662,25,0.8243151272186983,0.35005440392701614,0.38446047882168294,1.0
LSQ14q,dup,B,LSQ14q_B_comb_dup.fits,0.23,0.06695,23,1.0498710801950966,0.44583919795081334,0.5720073951405458,1.0
LSQ14q,dup,V,LSQ14q_V_comb_dup.fits,0.23,0.06695,25,1.0403539069609835,0.4417976265983884,0.5668220980374628,1.0
LSQ14wp,dup,B,LSQ14wp_B_comb_dup.fits,0.23,0.06945,25,1.3160047784394195,0.5588557738059017,0.7416069420061752,1.0
LSQ14wp,dup,V,LSQ14wp_V_comb_dup.fits,0.23,0.06945,24,1.2315147513207827,0.5229761628365096,0.6939943560429431,1.0
LSQ14wp,swo,V,LSQ14wp_V_comb_swo.fits,0.43,0.06945,25,1.6795611998266524,0.7132439709653389,0.9464815521359481,1.0
LSQ14xi,dup,B,LSQ14xi_B_comb_dup.fits,0.23,0.0508,23,1.1272045831409843,0.4786797129231034,0.47494318459371576,1.0
LSQ14xi,dup,V,LSQ14xi_V_comb_dup.fits,0.23,0.0508,25,0.9251797659815797,0.39288767221676174,0.38982082840059,1.0
LSQ15aae,dup,B,LSQ15aae_B_comb_dup.fits,0.23,0.0516,25,1.0823248756054746,0.459621055922874,0.46277654595718165,1.0
LSQ15aae,dup,V,LSQ15aae_V_comb_dup.fits,0.23,0.0516,25,1.0759480453274004,0.45691306543692145,0.46004996398835135,1.0
LSQ15agh,dup,B,LSQ15agh_B_comb_dup.fits,0.23,0.0603,23,1.1238369058531392,0.4772495920546526,0.5558101954847328,1.0
LSQ15agh,dup,V,LSQ15agh_V_comb_dup.fits,0.23,0.0603,25,1.0328066376713871,0.43859259642823917,0.5107898274138706,1.0
LSQ15aja,dup,B,LSQ15aja_B_comb_dup.fits,0.23,0.07,25,1.3059118409205803,0.5545696978740542,0.7412703295342025,1.0
LSQ15aja,dup,V,LSQ15aja_V_comb_dup.fits,0.23,0.07,25,1.2221017890371073,0.5189788458001025,0.6936975127243433,1.0
LSQ15aja,swo,V,LSQ15aja_V_comb_swo.fits,0.43,0.07,25,1.3262294739635947,0.5631978022108963,0.752803158986559,1.0
LSQ15alq,dup,B,LSQ15alq_B_comb_dup.fits,0.23,0.0471,25,1.1663335539981028,0.4952962569089961,0.4576394822908256,1.0
LSQ15alq,dup,V,LSQ15alq_V_comb_dup.fits,0.23,0.0471,25,1.1313818254856596,0.48045362441731293,0.4439253171733313,1.0
LSQ15alq,swo,V,LSQ15alq_V_comb_swo.fits,0.43,0.0471,25,1.5225076134047897,0.6465494535845857,0.5973930815879981,1.0
LSQ15bv,dup,B,LSQ15bv_B_comb_dup.fits,0.23,0.0689,25,0.9251073758406485,0.3928569309543523,0.5175292329762468,1.0
LSQ15bv,dup,V,LSQ15bv_V_comb_dup.fits,0.23,0.0689,25,0.9679869102468939,0.41106619263306454,0.5415171646814474,1.0
LSQ15bv,swo,V,LSQ15bv_V_comb_swo.fits,0.43,0.0689,25,1.7634238993388487,0.7488571804286948,0.9865053958817618,1.0
PS1-14xw,swo,V,PS1-14xw_V_comb_swo.fits,0.43,0.024,25,1.4126361480978997,0.5998913382272204,0.2903474032215812,1.0
PS15sv,dup,B,PS15sv_B_comb_dup.fits,0.23,0.0333,25,1.1530998576241642,0.4896764234946068,0.3251888140373498,1.0
PS15sv,dup,V,PS15sv_V_comb_dup.fits,0.23,0.0333,25,1.0178934319534898,0.4322595410640441,0.28705888372527244,1.0
PS15sv,swo,V,PS15sv_V_comb_swo.fits,0.43,0.0333,25,1.552482591873952,0.6592786549230975,0.43781982065743164,1.0
SN04dt,dup,B,SN04dt_B_comb_dup.fits,0.23,0.02,13,1.4507730892471449,0.616086605984398,0.24969053415856254,1.0
SN04dt,dup,V,SN04dt_V_comb_dup.fits,0.23,0.02,14,1.2943876838757582,0.5496758389699992,0.22277526002561865,1.0
SN04ef,dup,B,SN04ef_B_comb_dup.fits,0.23,0.031,24,1.631205181067636,0.6927090605117544,0.42942949200604075,1.0
SN04ef,dup,V,SN04ef_V_comb_dup.fits,0.23,0.031,25,1.6718550768219238,0.7099714818335304,0.44013094408973086,1.0
SN04eo,dup,B,SN04eo_B_comb_dup.fits,0.23,0.016,24,1.0229589323286556,0.4344106610130418,0.14153135386929983,1.0
SN04eo,dup,V,SN04eo_V_comb_dup.fits,0.23,0.016,25,0.9770088095163895,0.4148974404978571,0.1351739304317075,1.0
SN04ey,dup,B,SN04ey_B_comb_dup.fits,0.23,0.016,20,1.2179446780375325,0.5172134833010245,0.16850858208761324,1.0
SN04ey,dup,V,SN04ey_V_comb_dup.fits,0.23,0.016,24,1.266453496172721,0.5378132816752356,0.17522001349341196,1.0
SN04gs,dup,B,SN04gs_B_comb_dup.fits,0.23,0.027,20,0.9713232309929056,0.412482997604235,0.22378732316425612,1.0
SN04gs,dup,V,SN04gs_V_comb_dup.fits,0.23,0.027,25,1.4258103791188628,0.6054859190312878,0.3284985655667428,1.0
SN04gu,dup,B,SN04gu_B_comb_dup.fits,0.23,0.046,14,1.3118397627602314,0.5570870544984637,0.503367942623941,1.0
SN04gu,dup,V,SN04gu_V_comb_dup.fits,0.23,0.046,15,1.1757677091936414,0.4993025737464318,0.45115553711771456,1.0
SN05A,dup,B,SN05A_B_comb_dup.fits,0.23,0.019,16,0.9049574883547329,0.38430006159678287,0.14814237668488267,1.0
SN05A,dup,V,SN05A_V_comb_dup.fits,0.23,0.019,16,1.1674800425730392,0.4957831257792334,0.19111756128277083,1.0
SN05M,dup,B,SN05M_B_comb_dup.fits,0.23,0.025,11,1.2389874267494985,0.5261495159105521,0.2649476852216522,1.0
SN05M,dup,V,SN05M_V_comb_dup.fits,0.23,0.025,13,1.0730935401122377,0.45570086868278464,0.22947258651764246,1.0
SN05W,dup,B,SN05W_B_comb_dup.fits,0.23,0.009,12,1.701381418827332,0.7225101648075068,0.1335398229903503,1.0
SN05W,dup,V,SN05W_V_comb_dup.fits,0.23,0.009,18,1.418554360919442,0.6024045718112604,0.11134099394945657,1.0
SN05ag,dup,B,SN05ag_B_comb_dup.fits,0.23,0.08,19,1.168434263047121,0.4961883459046928,0.7491983039405979,1.0
SN05ag,dup,V,SN05ag_V_comb_dup.fits,0.23,0.08,25,1.2044226744449325,0.5114712170836404,0.772274019565748,1.0
SN05al,dup,B,SN05al_B_comb_dup.fits,0.23,0.012,20,1.3449727822910582,0.5711573523969138,0.14024159429934224,1.0
SN05al,dup,V,SN05al_V_comb_dup.fits,0.23,0.012,25,1.2034016466012447,0.5110376264804678,0.12547983700780216,1.0
