object,z,radius_kpc,B,V,instrumental_B_minus_V
SN09P,0.025,3.5,573930.3043013868,1128158.1919802078,0.7337771115701217
SN09P,0.025,4.0,662454.2153451616,1289605.7540746126,0.7232527357147945
SN09P,0.025,4.5,755955.0555247905,1458153.7478114204,0.7132683566542521
SN09P,0.025,5.0,842677.5798517641,1610998.4087529986,0.7035841803645969
SN09P,0.025,5.5,915458.0596635313,1737533.4285081392,0.6957367905395689
SN09P,0.025,6.0,979486.6585169028,1848185.03053611,0.6893673086025129
SN09P,0.025,6.5,1036624.1489177444,1947798.4663391493,0.6848067442832444
SN09P,0.025,7.0,1085541.2939633646,2031421.4519392203,0.6803842141541403
SN09P,0.025,7.5,1124844.1325678811,2097828.004598102,0.6766938284188323
SN09P,0.025,8.0,1155592.2110702952,2148029.855911612,0.6730892686766919
SN09P,0.025,8.5,1178437.8199792197,2187613.4228648813,0.6716597686675412
SN09P,0.025,9.0,1196967.6052808885,2218062.1746883537,0.6697282972627379
SN09P,0.025,9.5,1211234.5507964543,2242604.170361593,0.6688109368315887
SN09P,0.025,10.0,1221660.5474829338,2260907.468001797,0.6683305986187522
SN09Y,0.009,1.0,186234.6872076769,486906.11358809774,1.043461634312841
SN09Y,0.009,1.5,1175806.4063175125,2385459.6759519866,0.7680906437758417
SN09Y,0.009,2.0,1884116.0235847156,4415553.975129669,0.9246938870519318
SN09Y,0.009,2.5,2376856.6628870256,5679581.698152589,0.9457833970051441
SN09Y,0.009,3.0,2966486.4656150667,7192262.548797048,0.9615579035196156
SN09Y,0.009,3.5,3651028.960885712,8938557.460512176,0.9721303960139596
SN09Y,0.009,4.0,4590664.649308858,11165100.486736044,0.9649676691112576
SN09Y,0.009,4.5,6155671.644334511,14713831.35482278,0.9461258208474173
SN09Y,0.009,5.0,8325827.039587426,20366189.085624427,0.9712059673477308
SN09Y,0.009,5.5,9678976.19497493,24063109.28267803,0.988805804206724
SN09Y,0.009,6.0,10619489.618873851,26445889.47366854,0.9906363345791576
SN09Y,0.009,6.5,11263106.225097802,28095380.819288235,0.9924418576317031
SN09Y,0.009,7.0,11792813.498426417,29447018.707329504,0.9935597548877861
SN09Y,0.009,7.5,12238991.42464926,30558936.53678169,0.9934815151301961
SN09Y,0.009,8.0,12631938.22465945,31506919.944478054,0.9923398908325829
SN09Y,0.009,8.5,12970279.44247429,32314214.760499083,0.9911106849754765
SN09Y,0.009,9.0,13264857.752799416,33002793.731038857,0.9896202697769325
SN09Y,0.009,9.5,13535354.852520203,33615839.58225943,0.9876857913640235
SN09Y,0.009,10.0,13794605.385542834,34195852.16624237,0.9856603737919276
SN09ab,0.011,1.0,3635.174481365129,31094.24492170007,2.330386885194355
SN09ab,0.011,1.5,11210.014049766904,75051.26760207316,2.0643796872211215
SN09ab,0.011,2.0,30783.304253945505,151150.62381494063,1.7277367727409465
SN09ab,0.011,2.5,65539.90628824901,263992.8592197156,1.51271590915409
SN09ab,0.011,3.0,103564.77788328254,393922.6099042645,1.4504970764271587
SN09ab,0.011,3.5,147821.93134308362,543162.8412011577,1.4129779479948954
