object,z,radius_kpc,B,V,instrumental_B_minus_V
LSQ13cwp,0.0665,4.0,730.88820800393,4483.099198556419,1.969318483949928
LSQ13cwp,0.0665,4.5,929.85548191153,5861.656953013556,1.9990123561707416
LSQ13cwp,0.0665,5.0,1416.8846904024383,7371.815466370369,1.7905998689105684
LSQ13cwp,0.0665,5.5,1909.26354777406,9313.379235003742,1.720603516396425
LSQ13cwp,0.0665,6.0,2343.3433982895026,11328.31770957412,1.7108237122901047
LSQ13cwp,0.0665,6.5,3162.63072298019,13608.888775469424,1.584435447782278
LSQ13cwp,0.0665,7.0,3803.3750062972,16472.912029301708,1.5915030773569747
LSQ13cwp,0.0665,7.5,4559.764959409074,19635.20940067255,1.585232700922383
LSQ13cwp,0.0665,8.0,5782.889370598467,22663.512426775746,1.482955835650639
LSQ13cwp,0.0665,8.5,6755.976083860026,26213.61912516479,1.4720972037249127
LSQ13cwp,0.0665,9.0,7820.029712058372,30156.68606831902,1.4654380296216405
LSQ13cwp,0.0665,9.5,9245.229832544095,34870.01804348498,1.4413361502330053
LSQ13cwp,0.0665,10.0,10721.589840342733,39740.13453738853,1.4224253599743872
LSQ13dby,0.09993,1.0,-115.06491339839566,28.886389599993517,
LSQ13dby,0.09993,1.5,-227.68611758567724,102.62124470865446,
LSQ13dby,0.09993,2.0,-356.4220303417254,146.22413377411294,
LSQ13dby,0.09993,2.5,-506.5146257459428,76.3428407350948,
LSQ13dby,0.09993,3.0,-377.1615613186669,-88.5099922375953,
LSQ13dby,0.09993,3.5,-213.1372883885425,-229.74091658883663,
LSQ13dby,0.09993,4.0,-219.99525878737185,-154.87440974177974,
LSQ13dby,0.09993,4.5,-272.2047331166486,-201.7961332390804,
LSQ13dby,0.09993,5.0,-316.7624625821764,-20.572359143836024,
LSQ13dby,0.09993,5.5,-549.1821421798616,180.21816945177457,
LSQ13dby,0.09993,6.0,-493.006933589416,222.7386346897788,
LSQ13dby,0.09993,6.5,-249.96594995301507,134.4176248057728,
LSQ13dby,0.09993,7.0,-303.9422563931395,-39.45874347993589,
LSQ13dby,0.09993,7.5,-383.2143459296608,-270.3763576494163,
LSQ13dby,0.09993,8.0,-556.5737663229796,-321.51758947878943,
LSQ13dby,0.09993,8.5,-653.0074158697189,-122.4790468887374,
LSQ13dby,0.09993,9.0,-786.9779675897369,-54.546834829684826,
LSQ13dby,0.09993,9.5,-893.2120104574487,-307.1702307273522,
LSQ13dby,0.09993,10.0,-827.426119024886,-605.7237102707818,
LSQ13dhj,0.0935,1.0,277.58260451630974,831.1359586200414,1.1906995646268421
LSQ13dhj,0.0935,1.5,630.733213694647,1641.057614043778,1.0381953185675676
LSQ13dhj,0.0935,2.0,1056.4857278129873,2474.686442572965,0.924141361447086
LSQ13dhj,0.0935,2.5,1321.8587752166382,3325.244575290205,1.001596337935998
LSQ13dhj,0.0935,3.0,1672.0124073353822,3998.9522367843615,0.9467668028497499
LSQ13dhj,0.0935,3.5,1873.298455235126,4511.7672325642725,0.9543492769819601
LSQ13dhj,0.0935,4.0,2017.0017049970893,4726.86402940191,0.9246671111449098
LSQ13dhj,0.0935,4.5,2003.0660789739643,4984.718859251147,0.9898634811739302
LSQ13dhj,0.0935,5.0,2234.8602398409867,5308.80899062791,0.9393668268518457
LSQ13dhj,0.0935,5.5,2241.4927257162303,5478.243198003492,0.9702599359321638
LSQ13dhj,0.0935,6.0,2022.7155890531865,5467.104850523952,1.0795564537006292
LSQ13dhj,0.0935,6.5,1811.8383004175853,5433.9581953766665,1.1924921425262305
LSQ13dhj,0.0935,7.0,1912.5372557349588,5472.568082341882,1.1414531733227606
LSQ13dhj,0.0935,7.5,1889.3755451781672,5719.493161797994,1.2025981381292095
LSQ13dhj,0.0935,8.0,1711.9498775742404,6039.573664917747,1.3687880936948829
LSQ13dhj,0.0935,8.5,1577.6245007363127,6256.366938234534,1.4957964250630418
LSQ13dhj,0.0935,9.0,1608.354927077912,6147.310738573544,1.4557581821711203
LSQ13dhj,0.0935,9.5,1646.3946583584766,5807.1537383216255,1.368573438257096
LSQ13dhj,0.0935,10.0,1570.6919290947174,5588.614266244111,1.3780328072681989
LSQ13dkp,0.06894,1.0,-6.093348298526131,41.74666514766005,
LSQ13dkp,0.06894,1.5,-18.488559907449314,122.12088652991132,
LSQ13dkp,0.06894,2.0,-62.97390254338191,162.80553274696763,
LSQ13dkp,0.06894,2.5,-57.09133851276047,62.69082393293559,
LSQ13dkp,0.06894,3.0,-106.8684693684047,202.00730192280912,
LSQ13dkp,0.06894,3.5,-133.19878538639568,337.59890661513055,
LSQ13dkp,0.06894,4.0,23.199566248248743,498.39447744822473,3.3302333905940964
LSQ13dkp,0.06894,4.5,139.93972512375183,720.0090556377195,1.7784923553068706
LSQ13dkp,0.06894,5.0,229.15910666240663,776.6455675675161,1.325214368619141
LSQ13dkp,0.06894,5.5,170.85609857155623,1048.4469209707013,1.9697899085329111
LSQ13dkp,0.06894,6.0,285.0255067181088,1277.847757468542,1.6289884717773373
LSQ13dkp,0.06894,6.5,231.79323886456564,1610.7159469852218,2.1047954862676814
LSQ13dkp,0.06894,7.0,106.57337015810162,1938.6775277339657,3.1496421913684762
LSQ13dkp,0.06894,7.5,61.85376782430967,2385.340665467227,3.9654606307297424
LSQ13dkp,0.06894,8.0,-8.826190405869966,2873.172928084105,
LSQ13dkp,0.06894,8.5,-2.773375931343708,3243.32218444339,
LSQ13dkp,0.06894,9.0,-54.0772556410061,3591.3812408151407,
LSQ13dkp,0.06894,9.5,-90.0930352963087,3989.282737801499,
LSQ13dkp,0.06894,10.0,98.67731262414692,4671.426953114973,4.188080621955647
LSQ13dpm,0.05086,1.0,687.3525024475174,1184.8579123470718,0.5912168872886592
LSQ13dpm,0.05086,1.5,1428.078492408668,2747.907824094698,0.7106252053437607
LSQ13dpm,0.05086,2.0,2820.776139485651,5236.413198001383,0.6716632186438978
LSQ13dpm,0.05086,2.5,4529.817670038399,8886.028236274327,0.7315674184280097
LSQ13dpm,0.05086,3.0,6619.072868974628,13176.178824406676,0.7474807953033566
LSQ13dpm,0.05086,3.5,9160.12334025151,18174.889018618494,0.7439261154034299
LSQ13dpm,0.05086,4.0,12326.405175567845,24104.206340264565,0.7281409931707088
LSQ13dpm,0.05086,4.5,16113.374685206512,31394.243631403155,0.724158795888905
LSQ13dpm,0.05086,5.0,20038.353036919336,39721.10689639331,0.7428982964623569
LSQ13dpm,0.05086,5.5,24454.75373466956,49386.70840181838,0.7631169697472507
LSQ13dpm,0.05086,6.0,28991.983529243887,59223.6056663822,0.7755422885389809
LSQ13dpm,0.05086,6.5,33015.93759126515,68392.82952297696,0.790717341589854
LSQ13dpm,0.05086,7.0,36666.11602469676,76214.07647908012,0.7944257077095517
LSQ13dpm,0.05086,7.5,40241.15337569975,83473.39500335089,0.7921941438698263
LSQ13dpm,0.05086,8.0,43678.52408178929,90402.06098811376,0.7897759417916105
LSQ13dpm,0.05086,8.5,46929.60141127358,96532.78711040811,0.7830699494295855
LSQ13dpm,0.05086,9.0,50308.29809619724,102906.2990312408,0.7770058342560716
LSQ13dpm,0.05086,9.5,53092.354428546205,108232.94266702142,0.7733187034371256
LSQ13dpm,0.05086,10.0,55298.70221528489,112766.1450139124,0.7736594872789971
LSQ13dqh,0.1038,1.0,40.62980307092515,324.3057222731068,2.2552747359663488
LSQ13dqh,0.1038,1.5,176.4697142907886,492.2377182339284,1.113761765893469
LSQ13dqh,0.1038,2.0,323.1515168583078,845.6301046449876,1.0444355918648327
LSQ13dqh,0.1038,2.5,366.8302544024437,1195.8149268757577,1.2829970580924976
LSQ13dqh,0.1038,3.0,566.1400922275776,1592.9000954798528,1.1231615674513955
LSQ13dqh,0.1038,3.5,816.4791174769705,1902.844915518356,0.9186457814160733
LSQ13dqh,0.1038,4.0,800.5108097410807,2010.9653762004973,1.0000934809530433
LSQ13dqh,0.1038,4.5,770.0357828653051,2327.3797742326706,1.2008908722806853
LSQ13dqh,0.1038,5.0,902.7488414868238,2568.4626250086844,1.1352657767682803
LSQ13dqh,0.1038,5.5,926.140202600384,3018.1247135913127,1.2826511118360264
LSQ13dqh,0.1038,6.0,915.8378452996355,3189.9033333135494,1.354897341100272
LSQ13dqh,0.1038,6.5,869.9115733245526,3354.941844044033,1.465524718957563
LSQ13dqh,0.1038,7.0,986.184269069742,3628.893403632133,1.4145403514676678
LSQ13dqh,0.1038,7.5,1121.8180833454387,3877.911363810643,1.3466886047704476
LSQ13dqh,0.1038,8.0,1166.041588375116,4230.551523863215,1.399207370793494
LSQ13dqh,0.1038,8.5,1460.4986817682511,4138.002845525887,1.130724039138913
LSQ13dqh,0.1038,9.0,1319.3910521306457,4357.634954317403,1.2971932786968834
LSQ13dqh,0.1038,9.5,1054.7710213674643,4501.390783044557,1.5754713195255468
LSQ13dqh,0.1038,10.0,1026.230315138129,4527.86585620981,1.6116217803784112
LSQ14act,0.0591,1.0,239.2631799231968,973.3254238492324,1.5234554928439457
LSQ14act,0.0591,1.5,548.2208294683905,2334.659115947486,1.573169864284437
LSQ14act,0.0591,2.0,910.7581486701798,4337.3418939440935,1.6945514785951397
LSQ14act,0.0591,2.5,1615.2219256940427,7036.676847768861,1.597838514208173
LSQ14act,0.0591,3.0,2659.9922267740662,10475.4741572236,1.4882333057271857
LSQ14act,0.0591,3.5,4543.334401413512,14800.174946851515,1.2822303645792112
LSQ14act,0.0591,4.0,6293.029106551752,20359.96003063672,1.2747929515832435
LSQ14act,0.0591,4.5,8220.70364869925,27791.17909336606,1.3224949512365987
LSQ14act,0.0591,5.0,10584.829937468628,37160.66316847279,1.3634989275957634
LSQ14act,0.0591,5.5,13446.14987634474,48715.17022424098,1.3976656916542178
LSQ14act,0.0591,6.0,16775.6401571639,62100.84928486659,1.4210460944554895
LSQ14act,0.0591,6.5,20498.69069195177,76767.47296293639,1.433627805883897
LSQ14act,0.0591,7.0,24162.27388876193,91528.34775688828,1.4460445493987546
LSQ14act,0.0591,7.5,28355.977534539357,106000.40752407102,1.4316572783301003
LSQ14act,0.0591,8.0,32238.33477023633,119671.72996341708,1.42404742101669
