object,offset_kpc,n_radii,rho_colour_vs_radius,slope_mag_per_kpc,colour_range,step_at_nucleus_entry,offset_bin
SN06bd,7.963202294443812,19,0.6350877192982456,0.004000139023143144,0.04774809639301747,0.03249239195092035,"(5.0, 10.0]"
SN06ef,4.069976141205946,19,0.8842105263157896,0.01134284586493782,0.13789969905636745,0.05518754437752893,"(2.0, 5.0]"
SN06ej,3.3063235105444795,19,0.980701754385965,0.010321049539401078,0.09441278323796443,0.07361907781764776,"(2.0, 5.0]"
SN06et,4.948783130230779,19,0.38421052631578945,0.004487945864692819,0.09165577438894501,0.040693258504241214,"(2.0, 5.0]"
SN06fw,0.2881179180111232,19,-0.5333333333333333,-0.009085356498190297,0.1478102545406157,,"(0.0, 2.0]"
SN06hx,1.9582075228532168,18,-0.5149638802889577,-0.002533334274029273,0.028666005823674734,,"(0.0, 2.0]"
SN06kf,5.069444458014958,19,0.6736842105263158,0.008324923231591747,0.14213223711973555,0.03907799028267367,"(5.0, 10.0]"
SN06lu,6.73482397942136,18,0.7213622291021672,0.0068755113529411094,0.08139058370617125,0.025719315975984314,"(5.0, 10.0]"
SN06os,7.889199487240432,19,0.819298245614035,0.007739648914247406,0.0804658985012443,0.056179870645964414,"(5.0, 10.0]"
SN06ot,6.774334915640054,19,0.2912280701754386,0.001550903723668338,0.06058209302069706,0.011971941989230128,"(5.0, 10.0]"
SN07N,4.08683999665237,19,0.4263157894736842,0.0020069190138717655,0.035593078900507336,0.015485429480178614,"(2.0, 5.0]"
SN07S,3.190261257692701,19,0.05087719298245614,0.0012511841975362183,0.0534720712058383,0.012940730472694284,"(2.0, 5.0]"
SN07al,1.0598070253839285,19,-0.021052631578947368,-0.0010622327778414544,0.21154115189488487,,"(0.0, 2.0]"
SN07as,5.0850877110423625,19,0.6070175438596491,0.00977045242302437,0.1018815392107485,0.07057480747109057,"(5.0, 10.0]"
SN07ba,9.43858159984029,19,0.8596491228070176,0.006989004095724467,0.08830355719220484,,"(5.0, 10.0]"
SN07bc,2.5131281927812705,19,-0.11578947368421051,0.0001565241730060225,0.0679764965481846,-0.00484998376186585,"(2.0, 5.0]"
SN07bd,4.83093380438223,19,0.6315789473684211,0.009480997200336185,0.10223310526109475,0.06490599342941716,"(2.0, 5.0]"
SN07bm,1.3864852449919347,19,-1.0,-0.020064317498544697,0.19346575468305105,,"(0.0, 2.0]"
SN07cg,1.9958198878433575,19,0.0,-0.00021857480332955245,0.04267490976125354,,"(0.0, 2.0]"
