telescope,filter,file,n_stars,median,mean,std,max,mad_sigma,flag_high_scatter,flag_very_soft,flag_few_stars,any_flag
dup,V,PTF13dwl_V_comb_dup.fits,25,1.0113138863891653,1.035132386656748,0.0899558131896489,1.2900546872975176,0.0776615074742685,False,False,False,False
dup,V,SN06hx_V_comb_dup.fits,23,1.011280403610674,0.9549365414905984,0.444256888943281,2.3097450436749667,0.1048118715076835,False,False,False,False
dup,V,SN09cz_V_comb_dup.fits,25,1.0101284965170043,1.0795607668150706,0.1956096897813838,1.929552107193696,0.0652365681052846,False,False,False,False
dup,B,LSQ14foj_B_comb_dup.fits,20,1.0099606361689877,0.9206299442960436,0.4662306611555032,1.9860834472405584,0.0572299788942676,False,False,False,False
swo,V,CSP12F_V_comb_swo.fits,25,1.009715633993927,1.0034702033246783,0.0409483737156505,1.110714061241011,0.0259829875801113,False,False,False,False
dup,B,CSP14aba_B_comb_dup.fits,23,1.0095232591098118,0.8167552499892985,0.3222253267554881,1.0593674753197444,0.0585639003134337,False,False,False,False
dup,V,SN08hj_V_comb_dup.fits,25,1.006444961260875,1.123113013235418,0.3383085312815538,2.5285577803661625,0.0271751852019166,False,False,False,False
swo,V,PTF11pbp_V_comb_swo.fits,25,1.0061972792936225,1.024046835606072,0.0566802749063953,1.1695007844700316,0.0420207102417911,False,False,False,False
dup,V,SN08fp_V_comb_dup.fits,25,1.0057653750674802,1.004832450895602,0.1171410684878944,1.2708071668060128,0.1292732431334514,False,False,False,False
dup,B,PTF14w_B_comb_dup.fits,22,1.004491199036741,0.9484410891353208,0.4712176644349231,2.037150656539691,0.0567800214126549,False,False,False,False
dup,B,CSP14aax_B_comb_dup.fits,25,1.0037773600220186,1.0093805697277518,0.0367730230031469,1.0826026797862176,0.029161681696277,False,False,False,False
dup,B,CSP13M_B_comb_dup.fits,21,1.002710883599908,0.954186066717742,0.3538475036006138,1.689409395688759,0.0692446990255857,False,False,False,False
dup,V,SN08cd_V_comb_dup.fits,23,1.0024026152599317,1.1204429258717443,0.5779481327799191,3.64596539243671,0.0408688180210406,False,False,False,False
dup,V,PTF11pbp_V_comb_dup.fits,25,1.000460297835576,1.1027838609637215,0.2814405186201298,1.9136065712201504,0.0400394770887541,False,False,False,False
dup,B,LSQ14asu_B_comb_dup.fits,25,0.9996127824341916,0.9539964121665174,0.1728528157361659,1.0456424411144996,0.0233768895652302,False,False,False,False
dup,V,CSP13bh_V_comb_dup.fits,25,0.996577837000999,1.1332394993131627,0.2861996138025675,1.711252107802329,0.145639566298628,False,False,False,False
dup,V,SN08bd_V_comb_dup.fits,25,0.9945219914643636,0.9951677710766677,0.0691286473698547,1.2542535529242913,0.0463997329438335,False,False,False,False
dup,B,CSP12F_B_comb_dup.fits,21,0.99425564696301,1.032312837264085,0.1670948714635081,1.7481646901129255,0.0286877180319559,False,False,False,False
dup,B,CSP12N_B_comb_dup.fits,25,0.9930263480370844,1.0040556510028105,0.065461996111312,1.2570095038972784,0.0335279064468461,False,False,False,False
dup,B,LSQ14bbv_B_comb_dup.fits,25,0.9924034677322846,1.0163270415361416,0.1136056717947706,1.4099386202916118,0.0256049529573258,False,False,False,False
