object,ned_resolved_name,z,ra_deg,dec_deg,ned_type,n_galaxies_nearby,nearest_galaxy,offset_arcsec,offset_kpc,verdict,error
SN06dd,SN2006dd,0.006,50.67342,-37.20361,SN,2,,15.616691332388978,1.93131171283279,SN_POSITION,
SN06ef,SN2006ef,0.018,31.08129,-8.72839,SN,9,,11.131118652410535,4.069976141205946,SN_POSITION,
SN06ej,SN2006ej,0.02,9.74904,-9.01572,SN,9,,8.158025039924865,3.3063235105444795,SN_POSITION,
SN06eq,SN2006eq,0.05,322.15454,1.22804,SN,8,,11.098557106297728,10.848779156990545,SN_POSITION,
SN06et,SN2006et,0.023,10.69092,-23.55844,SN,2,,10.656459847640635,4.948783130230779,SN_POSITION,
SN06ev,SN2006ev,0.029,322.74692,13.98922,SN,2,,0.0,0.0,SN_POSITION,
SN06fw,SN2006fw,0.0835,26.7931,-0.14688,SN,6,,0.18356412255200644,0.2881179180111232,SN_POSITION,
SN06gj,SN2006gj,0.028,49.39917,-1.69172,SN,2,,22.85556258251829,12.843798946337875,SN_POSITION,
SN06gt,SN2006gt,0.045,14.07208,-1.62944,SN,3,,14.952364101902317,13.232532038827918,SN_POSITION,
SN06hb,SN2006hb,0.015,75.50533,-21.13197,SN,2,,6.412309636512444,1.960940036503537,SN_POSITION,
SN06hx,SN2006hx,0.045,18.4888,0.37167,SN,13,,2.2127157359506375,1.9582075228532172,SN_POSITION,
SN06is,SN2006is,0.031,79.39321,-23.78172,SN,2,,6.135465099872481,3.803544390068394,SN_POSITION,
SN06kf,SN2006kf,0.021,55.46033,8.15694,SN,1,,11.927113186704453,5.069444458014958,SN_POSITION,
SN06lu,SN2006lu,0.068,138.82346,-25.60008,SN,1,,5.1746216135958125,6.73482397942136,SN_POSITION,
SN06ob,SN2006ob,0.059,27.95046,0.26342,SN,12,,0.6696341082616033,0.7642188917301987,SN_POSITION,
SN06os,SN2006os,0.033,43.75421,16.00967,SN,1,,11.983420078293625,7.8891994872404325,SN_POSITION,
SN06ot,SN2006ot,0.053,33.77017,-20.76617,SN,3,,6.561273827227922,6.774334915640054,SN_POSITION,
SN06py,SN2006py,0.058,340.42521,-0.13692,SN,9,,0.30968312429037603,0.34784463030877516,SN_POSITION,
SN07af,SN2007af,0.005,215.58763,-0.39378,SN,12,,12.780479536433344,1.3187401794935347,SN_POSITION,
SN07ai,SN2007ai,0.032,243.22392,-21.63019,SN,1,,25.309537821955278,16.176806067789023,SN_POSITION,
SN07al,SN2007al,0.012,149.827,-19.47383,SN,1,,4.316241395387306,1.0598070253839285,SN_POSITION,
SN07as,SN2007as,0.018,141.90004,-80.17756,SN,1,,13.907382428231063,5.0850877110423625,SN_POSITION,
SN07ax,SN2007ax,0.007,125.68025,22.55469,SN,9,,6.2651245168225955,0.9028388159245937,SN_POSITION,
SN07ba,SN2007ba,0.039,229.17763,7.39661,SN,10,,12.21852819228868,9.43858159984029,SN_POSITION,
SN07bc,SN2007bc,0.021,169.81071,20.80903,SN,13,,5.912751319448775,2.5131281927812705,SN_POSITION,
SN07bd,SN2007bd,0.031,127.88867,-1.19944,SN,1,,7.792738224371922,4.83093380438223,SN_POSITION,
SN07bm,SN2007bm,0.006,171.25958,-9.79828,SN,1,,11.211194942835922,1.3864852449919347,SN_POSITION,
