file,object,filter,telescope,redshift,ned_resolved_name,ned_error
D:\Thesis\pd\CSPAll\ASAS14mf_B_comb_dup.fits,ASAS14mf,B,duPont,0.0311,ASAS14mf,
D:\Thesis\pd\CSPAll\ASAS14mf_V_comb_dup.fits,ASAS14mf,V,duPont,0.0311,ASAS14mf,
D:\Thesis\pd\CSPAll\ASAS14mw_V_comb_swo.fits,ASAS14mw,V,Swope,0.027406,ASAS14mw,
D:\Thesis\pd\CSPAll\ASAS14my_B_comb_dup.fits,ASAS14my,B,duPont,0.020514,ASAS14my,
D:\Thesis\pd\CSPAll\ASAS14my_V_comb_dup.fits,ASAS14my,V,duPont,0.020514,ASAS14my,
D:\Thesis\pd\CSPAll\ASAS15aj_B_comb_dup.fits,ASAS15aj,B,duPont,0.01092,ASAS15aj,
D:\Thesis\pd\CSPAll\ASAS15aj_V_comb_dup.fits,ASAS15aj,V,duPont,0.01092,ASAS15aj,
D:\Thesis\pd\CSPAll\ASAS15aj_V_comb_swo.fits,ASAS15aj,V,Swope,0.01092,ASAS15aj,
D:\Thesis\pd\CSPAll\ASAS15al_B_comb_dup.fits,ASAS15al,B,duPont,0.032,ASAS15al,
D:\Thesis\pd\CSPAll\ASAS15al_V_comb_dup.fits,ASAS15al,V,duPont,0.032,ASAS15al,
D:\Thesis\pd\CSPAll\ASAS15al_V_comb_swo.fits,ASAS15al,V,Swope,0.032,ASAS15al,
D:\Thesis\pd\CSPAll\ASAS15as_B_comb_dup.fits,ASAS15as,B,duPont,0.028,ASAS15as,
D:\Thesis\pd\CSPAll\ASAS15as_V_comb_dup.fits,ASAS15as,V,duPont,0.028,ASAS15as,
D:\Thesis\pd\CSPAll\ASAS15as_V_comb_swo.fits,ASAS15as,V,Swope,0.028,ASAS15as,
D:\Thesis\pd\CSPAll\ASAS15ba_B_comb_dup.fits,ASAS15ba,B,duPont,0.02313,ASAS15ba,
D:\Thesis\pd\CSPAll\ASAS15ba_V_comb_dup.fits,ASAS15ba,V,duPont,0.02313,ASAS15ba,
D:\Thesis\pd\CSPAll\ASAS15ba_V_comb_swo.fits,ASAS15ba,V,Swope,0.02313,ASAS15ba,
D:\Thesis\pd\CSPAll\ASAS15be_B_comb_dup.fits,ASAS15be,B,duPont,0.0219,ASAS15be,
D:\Thesis\pd\CSPAll\ASAS15be_V_comb_dup.fits,ASAS15be,V,duPont,0.0219,ASAS15be,
D:\Thesis\pd\CSPAll\ASAS15be_V_comb_swo.fits,ASAS15be,V,Swope,0.0219,ASAS15be,
D:\Thesis\pd\CSPAll\ASAS15bm_V_comb_swo.fits,ASAS15bm,V,Swope,0.0206,ASAS15bm,
D:\Thesis\pd\CSPAll\ASAS15cb_B_comb_dup.fits,ASAS15cb,B,duPont,0.04004,ASAS15cb,
D:\Thesis\pd\CSPAll\ASAS15cb_V_comb_dup.fits,ASAS15cb,V,duPont,0.04004,ASAS15cb,
D:\Thesis\pd\CSPAll\ASAS15cb_V_comb_swo.fits,ASAS15cb,V,Swope,0.04004,ASAS15cb,
D:\Thesis\pd\CSPAll\ASAS15cd_B_comb_dup.fits,ASAS15cd,B,duPont,0.03435,ASAS15cd,
D:\Thesis\pd\CSPAll\ASAS15cd_V_comb_dup.fits,ASAS15cd,V,duPont,0.03435,ASAS15cd,
D:\Thesis\pd\CSPAll\ASAS15da_B_comb_dup.fits,ASAS15da,B,duPont,0.048,ASAS15da,
D:\Thesis\pd\CSPAll\ASAS15da_V_comb_dup.fits,ASAS15da,V,duPont,0.048,ASAS15da,
D:\Thesis\pd\CSPAll\ASAS15da_V_comb_swo.fits,ASAS15da,V,Swope,0.048,ASAS15da,
D:\Thesis\pd\CSPAll\ASAS15db_V_comb_swo.fits,ASAS15db,V,Swope,0.011,ASAS15db,
D:\Thesis\pd\CSPAll\ASAS15dd_B_comb_dup.fits,ASAS15dd,B,duPont,0.02437,ASAS15dd,
D:\Thesis\pd\CSPAll\ASAS15dd_V_comb_dup.fits,ASAS15dd,V,duPont,0.02437,ASAS15dd,
D:\Thesis\pd\CSPAll\ASAS15dd_V_comb_swo.fits,ASAS15dd,V,Swope,0.02437,ASAS15dd,
D:\Thesis\pd\CSPAll\ASAS15eb_B_comb_dup.fits,ASAS15eb,B,duPont,0.01648,ASAS15eb,
D:\Thesis\pd\CSPAll\ASAS15eb_V_comb_dup.fits,ASAS15eb,V,duPont,0.01648,ASAS15eb,
D:\Thesis\pd\CSPAll\ASAS15eb_V_comb_swo.fits,ASAS15eb,V,Swope,0.01648,ASAS15eb,
D:\Thesis\pd\CSPAll\ASAS15fr_B_comb_dup.fits,ASAS15fr,B,duPont,0.03344,ASAS15fr,
D:\Thesis\pd\CSPAll\ASAS15fr_V_comb_dup.fits,ASAS15fr,V,duPont,0.03344,ASAS15fr,
D:\Thesis\pd\CSPAll\ASAS15fr_V_comb_swo.fits,ASAS15fr,V,Swope,0.03344,ASAS15fr,
D:\Thesis\pd\CSPAll\ASAS15ga_B_comb_dup.fits,ASAS15ga,B,duPont,0.00663,ASAS15ga,
D:\Thesis\pd\CSPAll\ASAS15ga_V_comb_dup.fits,ASAS15ga,V,duPont,0.00663,ASAS15ga,
D:\Thesis\pd\CSPAll\ASAS15ga_V_comb_swo.fits,ASAS15ga,V,Swope,0.00663,ASAS15ga,
D:\Thesis\pd\CSPAll\ASAS15go_B_comb_dup.fits,ASAS15go,B,duPont,0.01892,ASAS15go,
D:\Thesis\pd\CSPAll\ASAS15go_V_comb_dup.fits,ASAS15go,V,duPont,0.01892,ASAS15go,
D:\Thesis\pd\CSPAll\ASAS15go_V_comb_swo.fits,ASAS15go,V,Swope,0.01892,ASAS15go,
D:\Thesis\pd\CSPAll\ASAS15gr_B_comb_dup.fits,ASAS15gr,B,duPont,0.024,ASAS15gr,
D:\Thesis\pd\CSPAll\ASAS15gr_V_comb_dup.fits,ASAS15gr,V,duPont,0.024,ASAS15gr,
D:\Thesis\pd\CSPAll\ASAS15gr_V_comb_swo.fits,ASAS15gr,V,Swope,0.024,ASAS15gr,
D:\Thesis\pd\CSPAll\ASAS15hf_B_comb_dup.fits,ASAS15hf,B,duPont,0.00618,ASAS15hf,
D:\Thesis\pd\CSPAll\ASAS15hf_V_comb_dup.fits,ASAS15hf,V,duPont,0.00618,ASAS15hf,
D:\Thesis\pd\CSPAll\ASAS15hf_V_comb_swo.fits,ASAS15hf,V,Swope,0.00618,ASAS15hf,
D:\Thesis\pd\CSPAll\ASAS15hg_B_comb_dup.fits,ASAS15hg,B,duPont,0.02977,ASAS15hg,
D:\Thesis\pd\CSPAll\ASAS15hg_V_comb_dup.fits,ASAS15hg,V,duPont,0.02977,ASAS15hg,
D:\Thesis\pd\CSPAll\ASAS15hg_V_comb_swo.fits,ASAS15hg,V,Swope,0.02977,ASAS15hg,
D:\Thesis\pd\CSPAll\ASAS15hx_B_comb_dup.fits,ASAS15hx,B,duPont,0.0081,ASAS15hx,
D:\Thesis\pd\CSPAll\ASAS15hx_V_comb_dup.fits,ASAS15hx,V,duPont,0.0081,ASAS15hx,
D:\Thesis\pd\CSPAll\ASAS15hx_V_comb_swo.fits,ASAS15hx,V,Swope,0.0081,ASAS15hx,
D:\Thesis\pd\CSPAll\CSP12F_B_comb_dup.fits,CSP12F,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP12F_V_comb_dup.fits,CSP12F,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP12F_V_comb_swo.fits,CSP12F,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP12G_B_comb_dup.fits,CSP12G,B,duPont,0.03697,CSP12G,
D:\Thesis\pd\CSPAll\CSP12G_V_comb_dup.fits,CSP12G,V,duPont,0.03697,CSP12G,
D:\Thesis\pd\CSPAll\CSP12G_V_comb_swo.fits,CSP12G,V,Swope,0.03697,CSP12G,
D:\Thesis\pd\CSPAll\CSP12J_B_comb_dup.fits,CSP12J,B,duPont,0.0147,CSP12J,
D:\Thesis\pd\CSPAll\CSP12J_V_comb_dup.fits,CSP12J,V,duPont,0.0147,CSP12J,
D:\Thesis\pd\CSPAll\CSP12K_V_comb_swo.fits,CSP12K,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP12M_B_comb_dup.fits,CSP12M,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP12M_V_comb_dup.fits,CSP12M,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP12M_V_comb_swo.fits,CSP12M,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP12N_B_comb_dup.fits,CSP12N,B,duPont,,,"CSP12N: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP12N_V_comb_dup.fits,CSP12N,V,duPont,,,"CSP12N: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP12N_V_comb_swo.fits,CSP12N,V,Swope,,,"CSP12N: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13aad_B_comb_dup.fits,CSP13aad,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aad_V_comb_dup.fits,CSP13aad,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aad_V_comb_swo.fits,CSP13aad,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP13aae_V_comb_dup.fits,CSP13aae,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aaf_B_comb_dup.fits,CSP13aaf,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aaf_V_comb_dup.fits,CSP13aaf,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aaf_V_comb_swo.fits,CSP13aaf,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP13aam_B_comb_dup.fits,CSP13aam,B,duPont,0.07495,CSP13aam,
D:\Thesis\pd\CSPAll\CSP13aam_V_comb_dup.fits,CSP13aam,V,duPont,0.07495,CSP13aam,
D:\Thesis\pd\CSPAll\CSP13aam_V_comb_swo.fits,CSP13aam,V,Swope,0.07495,CSP13aam,
D:\Thesis\pd\CSPAll\CSP13aao_B_comb_dup.fits,CSP13aao,B,duPont,0.0614,CSP13aao,
D:\Thesis\pd\CSPAll\CSP13aao_V_comb_dup.fits,CSP13aao,V,duPont,0.0614,CSP13aao,
D:\Thesis\pd\CSPAll\CSP13aao_V_comb_swo.fits,CSP13aao,V,Swope,0.0614,CSP13aao,
D:\Thesis\pd\CSPAll\CSP13aap_B_comb_dup.fits,CSP13aap,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aap_V_comb_dup.fits,CSP13aap,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aaq_B_comb_dup.fits,CSP13aaq,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aaq_V_comb_dup.fits,CSP13aaq,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aaw_B_comb_dup.fits,CSP13aaw,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aaw_V_comb_dup.fits,CSP13aaw,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aax_B_comb_dup.fits,CSP13aax,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aax_V_comb_dup.fits,CSP13aax,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aay_B_comb_dup.fits,CSP13aay,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aay_V_comb_dup.fits,CSP13aay,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13ab_V_comb_swo.fits,CSP13ab,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP13aba_B_comb_dup.fits,CSP13aba,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13aba_V_comb_dup.fits,CSP13aba,V,duPont,,,
