object,z,flux_B,flux_V,mag_B,mag_V,B_minus_V,B_minus_V_err,annulus_tag,epoch,zp_err_B,zp_err_V,n_ref_B,n_ref_V
LSQ15agh,0.0603,66003.42008707066,173346.1106474957,17.565336159334365,16.7757666860131,0.789569473321265,0.1790474925583886,ann20-30,CSP-II,0.067633095836281,0.1657822938043947,5,5
LSQ15aja,0.07,788.520672384923,1805.3689543777805,23.091140351394365,22.2415063380774,0.8496340133169653,0.15365247049249303,ann20-30,CSP-II,0.0880389453766472,0.1259294476499209,8,7
LSQ15alq,0.0471,24647.44662549573,53998.5203248066,18.803389264518458,18.185993238940398,0.61739602557806,0.11977011853118052,ann20-30,CSP-II,0.1023290699786092,0.0622385951824584,5,6
LSQ15bv,0.0689,39672.51122120423,130687.21452287192,18.266806601770462,17.144582583190964,1.122224018579498,0.10414334865699339,ann20-30,CSP-II,0.0648451514886809,0.0814919836419639,8,8
PS15sv,0.0333,40979.73157056646,87523.21369508922,18.1925643821794,17.581526461457827,0.6110379207215715,0.0921442517501324,ann20-30,CSP-II,0.0541917336893143,0.0745239500451916,5,5
SN2011iv,0.006,11995178.527313162,66394536.17177487,11.516741101955937,10.600436517050746,0.9163045849051912,0.0689577342091839,ann20-30,CSP-II,0.0537208657176232,0.0432346816087912,9,10
SN2011jh,0.008,2373392.755073825,5239693.228790628,14.064908945535374,13.054184798189702,1.0107241473456714,0.33192935755943204,ann20-30,CSP-II,0.1095982020183317,0.313313473256683,7,9
SN2011jn,0.047,901.7932865479085,1836.6624535400315,22.518437731029437,22.055235350502024,0.463202380527413,0.18580521927585905,ann20-30,CSP-II,0.1151237833855578,0.1458427029684558,7,7
SN2011jt,0.028,24350.295436104378,65216.60896348388,18.73007999923676,17.75629589748972,0.9737841017470394,0.0891251142963358,ann20-30,CSP-II,0.0514970582561581,0.0727415905056851,11,11
SN2012E,0.02,596.088840838484,1422.8441601653851,22.732617334474874,22.02484942830344,0.7077679061714335,0.1510199534265903,ann20-30,CSP-II,0.1393687306739757,0.0581668569143488,6,8
SN2012G,0.0258,75634.04378232024,107545.7984783457,17.779832816817503,16.987510050935573,0.7923227658819307,0.44375347411328675,ann20-30,CSP-II,0.0647627573340283,0.4390021993681868,6,8
SN2012U,0.01972,623509.5568919845,1798473.170940213,14.940770829063943,14.149696788000234,0.7910740410637089,0.10487457664552506,ann20-30,CSP-II,0.0686804557691908,0.0792569985674094,11,11
SN2012aq,0.052,1544.4054858115956,3231.326998533159,21.92957907820209,21.3691618941832,0.5604171840188883,0.1146010104226864,ann20-30,CSP-II,0.0836753849086652,0.0783059483710363,9,8
SN2012ar,0.0283,3579.846412721423,13054.373927406772,21.187914394173532,19.908739425886555,1.279174968286977,0.10886343217463852,ann20-30,CSP-II,0.075587705887663,0.0783437654410501,12,14
SN2012bl,0.0187,37084.02090903819,70184.58616896273,18.464298274131803,17.99808371330323,0.46621456082857193,0.06300377873259073,ann20-30,CSP-II,0.0441782939172732,0.0449194220927237,18,14
SN2012bo,0.0254,184515.31774944463,427987.8875837348,16.81064571838741,16.081279619197094,0.7293660991903153,0.09541899659942342,ann20-30,CSP-II,0.0637216439197543,0.0710234961699635,20,19
SN2012gm,0.0148,502907.75058643846,1124323.1897670894,14.495838339828449,13.968646227162866,0.527192112665583,0.14543626948777091,ann20-30,CSP-II,0.1016614751651259,0.1040031391342108,10,11
SN2012hl,0.0332,24041.629160056626,58037.73867431319,17.81959512410671,17.229238607301802,0.5903565168049063,0.11196303975080531,ann20-30,CSP-II,0.1003442244535801,0.0496664765113245,14,15
SN2012id,0.0157,79327.52106944042,323481.36380898487,17.134471855472395,15.80550230599004,1.3289695494823555,0.10044114976043039,ann20-30,CSP-II,0.0923247565409494,0.039554568571173,21,20
SN2012ij,0.01,688828.4160803921,2289577.096517847,14.620052191124344,13.881189534158944,0.7388626569654004,0.18868267529377084,ann20-30,CSP-II,0.1622275947484252,0.0963501917909626,8,7
SN2013fy,0.0309,46883.19421950648,122881.27274735695,17.231971450609933,16.560824095924183,0.6711473546857505,0.08076745398010667,ann20-30,CSP-II,0.0548946659146703,0.0592448924089274,7,7
